id,location,rural_urban,school_category,school_management,girls_0,boys_0,girls_1,boys_1,girls_2,boys_2,girls_3,boys_3,girls_4,boys_4,girls_5,boys_5,girls_6,boys_6,girls_7,boys_7,girls_8,boys_8,girls_9,boys_9,girls_10,boys_10,girls_11,boys_11,girls_12,boys_12
97,All India,Rural,PS (I-V),Madarsa recognized (by Wakf board/Madarsa Board),781,866,82261,90305,68184,73749,66273,71271,61856,66379,56844,59927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,All India,Urban,PS (I-V),Madarsa recognized (by Wakf board/Madarsa Board),927,1102,29623,32906,23902,26709,25083,27754,23293,25678,20131,21805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,All India,Rural,SS (I-X),Madarsa recognized (by Wakf board/Madarsa Board),436,480,15461,14577,13482,12977,13974,13271,13535,12187,13215,12115,15847,13517,15483,13119,15839,13123,13502,12941,13202,12996,0,0,0,0
100,All India,Urban,SS (I-X),Madarsa recognized (by Wakf board/Madarsa Board),430,407,5978,5651,4855,4603,5258,4751,4887,4385,4872,4453,5280,4607,5182,4460,4947,4425,3943,3969,3929,3999,0,0,0,0
101,All India,Rural,SS (IX-X),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,398,346,364,0,0,0,0
102,All India,Urban,SS (IX-X),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,469,774,404,0,0,0,0
103,All India,Rural,SS (VI-X),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,430,371,471,378,504,359,650,482,558,420,0,0,0,0
104,All India,Urban,SS (VI-X),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,172,199,191,191,300,307,319,277,292,329,0,0,0,0
105,All India,Rural,UPS (I-VIII),Madarsa recognized (by Wakf board/Madarsa Board),1663,1620,49064,50026,45020,44985,47429,46369,45622,43989,43245,41356,45365,41599,42995,38831,43793,37385,0,0,0,0,0,0,0,0
106,All India,Urban,UPS (I-VIII),Madarsa recognized (by Wakf board/Madarsa Board),943,1049,18092,20070,15049,16643,16150,17989,15735,17448,15226,16284,15201,16271,14593,15147,14386,14387,0,0,0,0,0,0,0,0
107,All India,Rural,UPS (VI-VIII),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,5438,5308,5134,4882,4813,4695,0,0,0,0,0,0,0,0
108,All India,Urban,UPS (VI-VIII),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,2422,2371,2315,2311,2312,2089,0,0,0,0,0,0,0,0
109,All India,Rural,HSS (I-XII),Madarsa unrecognized,40,99,1115,1224,1074,1126,1051,1118,1048,1135,994,1148,1114,1309,1111,1382,1206,1372,1187,1315,1379,1329,909,989,1034,805
110,All India,Urban,HSS (I-XII),Madarsa unrecognized,5,7,428,470,386,487,449,476,402,474,383,460,485,577,520,538,463,502,459,477,501,513,417,309,374,290
111,All India,Rural,HSS (IX-XII),Madarsa unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,206,290,190,252,165,299,220
112,All India,Urban,HSS (IX-XII),Madarsa unrecognized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,68,27,69,36,67,12,11
113,All India,Rural,HSS (VI-XII),Madarsa unrecognized,0,0,0,0,0,0,0,0,0,0,385,0,241,158,256,147,411,108,414,89,75,85,85,312,54,307
114,All India,Rural,PS (I-V),Madarsa unrecognized,1508,1616,13834,14977,11631,12307,11067,12131,10343,11143,9236,9545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,All India,Urban,PS (I-V),Madarsa unrecognized,148,203,4133,4248,3572,3740,3834,4139,3753,4142,3892,3963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,All India,Rural,SS (I-X),Madarsa unrecognized,188,233,3370,3318,3079,3151,3151,3060,3176,2879,3081,2843,3877,3505,3705,3213,3738,3216,3129,2826,2708,2773,0,0,0,0
